nr;czas;koszt
0;5.07911;3922
0;5.38575;3902
0;5.82479;3868
0;5.86493;3856
0;5.92209;3831
0;57.0222;3817
0;57.4401;3804
0;57.6366;3778
0;57.7406;3758
0;58.0933;3744
0;59.2003;3734
0;59.2026;3714
0;59.229;3702
0;59.2337;3700
0;59.2942;3695
0;59.3213;3689
0;59.3221;3675
0;59.4659;3665
0;59.4971;3651
0;59.5334;3646
0;59.6074;3589
0;59.6713;3579
0;59.7665;3561
0;59.8382;3551
0;59.8407;3526
0;59.8537;3517
0;59.8694;3485
0;59.8773;3471
0;59.9381;3449
0;61.4648;3425
0;61.4837;3397
0;63.0769;3394
0;63.0938;3386
0;63.0992;3380
0;63.3489;3372
1;0.00187071;3912
1;0.0119185;3909
1;0.0134398;3867
1;0.0275593;3839
1;0.0288886;3828
1;0.0307233;3810
1;0.0326782;3799
1;0.0329974;3787
1;0.0369415;3780
1;0.043487;3734
1;0.0440227;3681
1;0.0519176;3678
1;0.0538224;3669
1;0.0669633;3641
1;0.0794151;3637
1;0.101292;3616
1;0.105332;3576
1;0.110352;3555
1;0.112515;3533
1;0.123651;3513
1;0.146755;3512
1;0.159878;3504
1;0.168704;3498
1;0.188892;3485
1;0.317251;3461
1;0.376782;3442
1;0.410157;3435
1;0.504865;3427
1;0.542868;3408
1;0.548442;3389
1;0.558753;3384
1;0.607601;3379
1;0.636087;3351
1;0.869211;3331
1;1.87501;3319
1;1.97908;3316
1;1.99974;3305
1;3.77028;3264
1;4.66331;3248
1;4.71189;3246
1;4.85568;3235
1;29.0333;3219
2;0.0007295;3917
2;0.00464571;3881
2;0.00701;3867
2;0.0166635;3861
2;0.0170001;3858
2;0.0176232;3850
2;0.022697;3824
2;0.0275193;3796
2;0.0317332;3765
2;0.0338821;3756
2;0.0361481;3717
2;0.0524856;3704
2;0.0544677;3668
2;0.056626;3663
2;0.0763274;3643
2;0.0845249;3597
2;0.0952651;3538
2;0.098051;3537
2;0.0986713;3509
2;0.172669;3488
2;0.17793;3483
2;0.187824;3482
2;0.2058;3464
2;0.211998;3458
2;0.220455;3418
2;0.362576;3403
2;0.396754;3396
2;0.428415;3384
2;0.502994;3373
2;0.919453;3346
2;0.997697;3343
2;1.0752;3329
2;1.11203;3310
2;1.13541;3291
2;1.15946;3263
2;1.2063;3261
2;1.25365;3250
2;12.5625;3237
3;0.000338375;3897
3;0.00195121;3889
3;0.00489167;3886
3;0.0137015;3871
3;0.015472;3862
3;0.0287392;3826
3;0.0487875;3786
3;0.0497345;3747
3;0.0605671;3683
3;0.0764731;3650
3;0.082944;3632
3;0.0993328;3622
3;0.101002;3600
3;0.111733;3577
3;0.139651;3544
3;0.142951;3528
3;0.154865;3482
3;0.162054;3480
3;0.168221;3474
3;0.181499;3465
3;0.211348;3452
3;0.211524;3449
3;0.231564;3442
3;0.289403;3404
3;0.397898;3383
3;0.457721;3372
3;0.501007;3369
3;0.517979;3341
3;0.571008;3334
3;0.577598;3316
3;0.828287;3304
3;1.0367;3301
3;1.15114;3290
3;1.28185;3237
3;1.48362;3232
3;19.5552;3219
4;0.000422417;3869
4;0.00199321;3860
4;0.00202092;3824
4;0.0161331;3785
4;0.0410663;3743
4;0.0429191;3722
4;0.0467308;3696
4;0.0498823;3678
4;0.049913;3632
4;0.0563422;3629
4;0.0606671;3607
4;0.0644222;3556
4;0.0743258;3548
4;0.0789592;3542
4;0.10043;3514
4;0.182317;3492
4;0.186284;3452
4;0.18793;3447
4;0.225424;3434
4;0.286586;3427
4;0.304702;3418
4;0.309609;3391
4;0.338893;3384
4;0.340083;3372
4;0.384357;3370
4;0.41129;3365
4;0.477889;3363
4;0.60055;3357
4;0.730667;3338
4;0.736049;3319
4;0.778383;3291
4;0.828808;3290
4;0.892068;3286
4;0.89955;3276
4;1.92997;3264
4;2.50997;3261
4;2.75372;3250
4;4.0445;3237
5;0.00381854;3909
5;0.00612833;3906
5;0.00866779;3830
5;0.0115831;3821
5;0.0222287;3813
5;0.0283992;3810
5;0.0375289;3764
5;0.0574634;3722
5;0.0652443;3711
5;0.0731799;3693
5;0.0743383;3671
5;0.081369;3631
5;0.0816412;3605
5;0.116212;3587
5;0.129507;3566
5;0.139498;3538
5;0.139954;3531
5;0.17971;3524
5;0.204064;3519
5;0.243777;3507
5;0.309029;3485
5;0.313568;3466
5;0.318942;3453
5;0.321566;3446
5;0.410733;3428
5;0.452694;3409
5;0.460748;3406
5;0.4994;3378
5;0.622082;3367
5;3.69903;3354
5;4.24819;3313
5;9.23385;3304
5;15.2709;3286
6;0.00312271;3914
6;0.00497671;3883
6;0.00857263;3880
6;0.0239625;3859
6;0.0244328;3819
6;0.0258779;3777
6;0.04195;3764
6;0.0586453;3753
6;0.0839777;3717
6;0.0907177;3710
6;0.100641;3703
6;0.105068;3675
6;0.11162;3622
6;0.127531;3586
6;0.136552;3581
6;0.145338;3569
6;0.158277;3550
6;0.180484;3543
6;0.187711;3526
6;0.20059;3506
6;0.23018;3478
6;0.298145;3473
6;0.305507;3465
6;0.331994;3459
6;0.49857;3456
6;0.557144;3449
6;0.707678;3438
6;0.713899;3429
6;0.724674;3411
6;0.763247;3399
6;0.823409;3392
6;0.847828;3390
6;1.08723;3344
6;2.24014;3308
6;2.2561;3287
6;6.07639;3274
6;8.1119;3265
6;10.004;3247
7;0.005075;3887
7;0.012071;3879
7;0.0129714;3825
7;0.0136529;3806
7;0.0238975;3767
