nr;czas;koszt
0;43.691;3922
0;43.7131;3893
0;43.721;3867
0;43.7409;3863
0;43.7961;3855
0;43.8256;3839
0;44.2787;3800
0;44.3388;3782
0;44.4121;3779
0;45.3388;3776
0;82.82;3767
0;83.1514;3759
1;0.00457763;3887
1;0.0218551;3884
1;0.0335419;3844
1;0.0377172;3841
1;0.0415781;3838
1;0.0508511;3794
1;0.056135;3766
1;0.0612721;3755
1;0.061549;3735
1;0.0641932;3707
1;0.0661871;3686
1;0.089694;3679
1;0.0954963;3633
1;0.119541;3624
1;0.134972;3598
1;0.146746;3585
1;0.151394;3577
1;0.167339;3535
1;0.199644;3529
1;0.237234;3509
1;0.251974;3502
1;0.279121;3484
1;0.296304;3477
1;0.309604;3463
1;0.31436;3458
1;0.319207;3440
1;0.344791;3423
1;0.373844;3394
1;0.407955;3384
1;0.962058;3379
1;0.976628;3367
1;1.01578;3329
1;1.03693;3301
1;1.27264;3298
1;1.27821;3287
1;4.97503;3274
1;14.2464;3265
1;15.4666;3247
2;0.00174225;3921
2;0.0101362;3903
2;0.010533;3857
2;0.0284997;3854
2;0.0346356;3815
2;0.0383282;3787
2;0.0397334;3769
2;0.0413453;3763
2;0.0428145;3735
2;0.0468764;3714
2;0.0495964;3713
2;0.0518906;3705
2;0.0531879;3677
2;0.0699577;3668
2;0.07588;3655
2;0.117801;3647
2;0.138091;3594
2;0.144292;3588
2;0.185158;3578
2;0.199363;3569
2;0.200203;3529
2;0.201683;3510
2;0.217705;3487
2;0.224882;3486
2;0.361684;3479
2;0.384783;3455
2;0.445032;3436
2;0.450679;3414
2;0.534535;3395
2;0.57129;3367
2;0.950517;3341
2;1.02334;3321
2;1.09726;3309
2;1.30051;3306
2;1.62758;3295
2;2.32907;3292
2;2.59329;3274
2;3.02549;3262
2;3.05849;3258
2;3.10498;3247
2;3.28959;3238
2;4.65411;3220
3;0.00214742;3905
3;0.00989512;3903
3;0.0258931;3879
3;0.0262401;3876
3;0.0343412;3868
3;0.0344074;3826
3;0.0359518;3820
3;0.0368192;3810
3;0.0542755;3798
3;0.0617339;3787
3;0.0625222;3777
3;0.0631797;3771
3;0.0686875;3764
3;0.0739851;3755
3;0.075441;3713
3;0.077496;3695
3;0.081379;3674
3;0.1022;3653
3;0.109153;3652
3;0.109498;3630
3;0.224135;3610
3;0.239952;3594
3;0.255084;3548
3;0.365254;3546
3;0.371647;3538
3;0.401032;3498
3;0.479172;3479
3;0.500861;3472
3;0.515135;3444
3;0.58582;3431
3;0.599115;3426
3;0.654627;3415
3;0.704179;3396
3;0.796938;3391
3;0.811646;3384
3;0.819489;3346
3;0.861177;3341
3;0.874243;3318
3;0.89337;3311
3;0.915936;3306
3;0.988588;3277
3;1.46187;3257
3;1.69924;3238
3;1.87662;3231
3;1.91217;3215
3;2.14936;3186
3;2.28842;3172
3;4.04191;3160
3;4.28026;3157
3;4.72063;3146
3;4.75451;3134
3;4.81992;3130
3;4.85074;3119
3;13.4104;3118
3;13.4536;3094
4;0.00528713;3897
4;0.00760921;3895
4;0.00988963;3892
4;0.0132062;3884
4;0.0137293;3848
4;0.0142629;3817
4;0.0237683;3766
4;0.0435624;3746
4;0.0454266;3704
4;0.0528275;3695
4;0.0560576;3674
4;0.0792222;3655
4;0.0861333;3608
4;0.0953853;3605
4;0.0994918;3592
4;0.109754;3584
4;0.122392;3562
4;0.122604;3556
4;0.19391;3555
4;0.225197;3544
4;0.231777;3526
4;0.247271;3502
4;0.271954;3462
4;0.279532;3434
4;0.318761;3427
4;0.366522;3381
4;0.388703;3353
4;0.389934;3348
4;0.643255;3332
4;0.961667;3322
4;1.02907;3279
4;1.12927;3277
4;1.57177;3266
4;1.87375;3261
4;4.90439;3249
4;5.02258;3246
4;5.43428;3235
4;6.07456;3231
4;6.09714;3219
5;0.0054905;3921
5;0.00892775;3879
5;0.0108172;3875
5;0.0141837;3862
5;0.0164566;3809
5;0.0170353;3781
5;0.0202765;3745
5;0.0204925;3742
5;0.0284417;3724
5;0.0333604;3685
5;0.0340803;3663
5;0.046383;3654
5;0.0507275;3634
5;0.0545236;3604
5;0.0554739;3576
5;0.0619845;3530
5;0.0672843;3527
5;0.0745863;3506
5;0.0796425;3499
5;0.0954115;3491
5;0.102711;3485
5;0.112263;3477
5;0.17052;3451
5;0.214344;3411
5;0.219452;3391
5;0.231299;3370
5;0.418796;3365
5;0.575471;3327
5;0.616048;3322
5;0.697342;3295
5;0.842839;3272
5;0.920669;3270
5;1.10966;3258
5;1.32492;3255
5;1.43126;3244
5;1.55674;3232
5;1.6105;3217
5;1.65961;3210
5;1.69726;3205
5;28.7883;3192
6;0.00386937;3915
6;0.00446729;3904
6;0.00867317;3882
6;0.00933521;3861
6;0.0108043;3852
6;0.012209;3824
6;0.0183237;3806
6;0.0195243;3780
6;0.0252596;3738
6;0.042401;3699
6;0.047746;3677
6;0.0539372;3670
6;0.0583904;3652
6;0.0619315;3639
6;0.0658351;3636
6;0.0770925;3572
6;0.108637;3526
6;0.198494;3486
6;0.267146;3479
6;0.349715;3477
6;0.365153;3459
6;0.404201;3451
6;0.412078;3421
6;0.48125;3415
6;0.647892;3372
6;0.825392;3349
6;1.36464;3348
6;1.3977;3343
6;1.41518;3333
6;1.53222;3309
6;1.83442;3285
6;1.89442;3265
6;1.98095;3224
6;2.3862;3220
6;2.39348;3217
6;2.43961;3200
6;3.65829;3179
6;4.21959;3167
6;5.13053;3164
6;5.14626;3153
7;0.000191708;3870
7;0.00272546;3828
7;0.0129365;3797
