nr;czas;koszt
0;0.000721709;4256
0;0.000847917;4247
0;0.000855459;4157
0;0.000862667;4049
0;0.000904334;4010
0;0.000909209;3974
0;0.000929917;3947
0;0.00107212;3919
0;0.00111171;3783
0;0.00113513;3731
0;0.00119321;3660
0;0.0012095;3616
0;0.00121912;3596
0;0.00147262;3580
0;0.00151937;3496
0;0.00153633;3482
0;0.00203042;3439
0;0.00229875;3408
0;0.00231154;3385
0;0.00239696;3378
0;0.00247262;3334
0;0.00247779;3279
0;0.00250092;3239
0;0.00265212;3200
0;0.00270271;3186
0;0.00278754;3185
0;0.00291183;3112
0;0.00298696;3093
0;0.0031105;3090
0;0.00322983;3082
0;0.00355917;3072
0;0.00366762;3064
0;0.00401546;3038
0;0.00406604;2993
0;0.00455338;2923
0;0.00465763;2878
0;0.00467183;2819
0;0.00472033;2801
0;0.00604446;2771
0;0.00620475;2750
0;0.00630104;2705
0;0.00636296;2688
0;0.00719358;2662
0;0.00776408;2645
0;0.007996;2592
0;0.00886771;2582
0;0.0094705;2556
0;0.0100688;2549
0;0.0103113;2530
0;0.0111123;2486
0;0.0116579;2468
0;0.011883;2427
0;0.0132337;2395
0;0.0136293;2379
0;0.0141309;2357
0;0.0168839;2305
0;0.021747;2241
0;0.0229897;2237
0;0.0268367;2236
0;0.029403;2231
0;0.0296132;2212
0;0.0344934;2211
0;0.0395402;2210
1;2.333e-06;4263
1;2.2541e-05;4217
1;3.2291e-05;4200
1;3.5e-05;4152
1;3.7708e-05;4121
1;8.35e-05;4106
1;0.000124166;4071
1;0.000136041;4030
1;0.000138625;3981
1;0.000173375;3980
1;0.000185166;3952
1;0.000237458;3898
1;0.000246333;3694
1;0.000250958;3581
1;0.000268416;3535
1;0.000298708;3508
1;0.000303333;3442
1;0.000431458;3319
1;0.000661333;3294
1;0.000665958;3281
1;0.000782333;3243
1;0.000797666;3184
1;0.00082175;3145
1;0.000930166;3099
1;0.00107946;3036
1;0.00185296;3027
1;0.00185546;3021
1;0.00208275;2973
1;0.00233812;2969
1;0.00250929;2941
1;0.0025355;2918
1;0.00258721;2916
1;0.00265583;2852
1;0.00315033;2825
1;0.00350675;2812
1;0.00386008;2780
1;0.00401346;2741
1;0.00406517;2739
1;0.00514588;2725
1;0.00638737;2685
1;0.00691267;2658
1;0.00718371;2628
1;0.00877071;2576
1;0.00909725;2497
1;0.0113162;2485
1;0.0119469;2469
1;0.0119922;2431
1;0.0130668;2375
1;0.0130825;2360
1;0.0139555;2294
1;0.0140302;2292
1;0.0151999;2290
1;0.015479;2250
1;0.015584;2232
1;0.0156568;2186
1;0.016194;2127
1;0.0172369;2114
1;0.0213792;2108
1;0.0274027;2099
1;0.0279385;2080
1;0.0318004;2066
1;0.0365655;2054
1;0.0440428;2024
2;1.55e-05;4221
2;4.55e-05;4192
2;6e-05;4179
2;0.000122125;4031
2;0.000138875;3897
2;0.000161292;3818
2;0.000166042;3785
2;0.000198875;3774
2;0.00025025;3712
2;0.000287042;3667
2;0.000327667;3577
2;0.0003475;3518
2;0.00043725;3479
2;0.000463083;3478
2;0.000506083;3466
2;0.000649458;3376
2;0.00066675;3343
2;0.000790542;3319
2;0.000897;3269
2;0.000965417;3240
2;0.000989167;3215
2;0.00101487;3177
2;0.00131663;3117
2;0.001349;3085
2;0.00137483;3076
2;0.00149646;3033
2;0.00152033;2988
2;0.00152704;2937
2;0.00173412;2891
2;0.00176204;2890
2;0.00188133;2845
2;0.00244983;2780
2;0.00286079;2729
2;0.00340413;2685
2;0.00355775;2667
2;0.00408129;2632
2;0.00445233;2600
2;0.00475013;2584
2;0.00550787;2513
2;0.00562988;2511
2;0.00618588;2510
2;0.00710954;2484
2;0.00810158;2470
2;0.0122274;2433
2;0.0129493;2372
2;0.0205956;2367
2;0.022457;2348
2;0.0252355;2330
2;0.0272915;2328
2;0.0273492;2312
2;0.0278078;2310
2;0.0284676;2298
2;0.0379562;2283
2;0.0397702;2243
2;0.624068;2241
2;0.634407;2182
2;0.635988;2166
2;0.670398;2132
2;0.690073;2109
2;0.694963;2095
2;0.702101;2091
3;2.4792e-05;4222
3;3.2542e-05;4186
3;4.4667e-05;4152
3;5.6708e-05;3922
3;9.9083e-05;3791
3;0.000150125;3758
3;0.0002365;3752
3;0.000308333;3654
3;0.000381167;3631
3;0.000511417;3515
3;0.000616458;3514
3;0.000653;3399
3;0.000700375;3352
3;0.000749792;3343
3;0.000852542;3336
3;0.000857125;3297
3;0.00104912;3238
3;0.00109567;3188
3;0.00121708;3173
3;0.00123467;3166
3;0.00126462;3099
3;0.00130996;3097
3;0.00132725;3095
3;0.00156579;3042
3;0.00157667;2952
3;0.00158333;2945
3;0.00159012;2933
3;0.00171621;2856
3;0.00177642;2842
3;0.00178304;2796
3;0.00194292;2774
3;0.00195596;2771
3;0.00232304;2764
3;0.00238908;2671
3;0.00252975;2575
3;0.00255558;2464
3;0.00276854;2416
3;0.00297058;2383
3;0.00463683;2359
3;0.00510479;2338
3;0.00567125;2302
3;0.00608808;2300
3;0.00625233;2267
3;0.00730583;2222
3;0.00876612;2200
3;0.00916679;2132
3;0.0101275;2128
3;0.0118184;2113
3;0.0232928;2094
3;0.0269882;2058
3;0.041356;2028
3;0.0451007;2027
3;0.06174;2018
3;0.0783549;2012
3;0.0896747;2007
3;0.117129;1964
3;0.117544;1947
4;2.25e-06;4275
4;9.167e-06;4252
4;1.6333e-05;4230
4;5.0917e-05;4227
4;5.3875e-05;4174
4;6.1125e-05;4172
