nr;czas;koszt
1;0.16548;4368
1;0.172518;4367
1;0.192111;4361
1;0.22688;4353
1;0.234423;4351
1;0.234451;4344
1;0.235476;4335
1;0.24221;4316
1;0.245979;4298
1;0.251211;4283
1;0.254759;4244
1;0.264464;4198
1;0.26813;4191
1;0.279151;4186
1;0.282639;4172
1;0.287543;4088
1;0.340107;4036
1;0.35402;4013
1;0.42316;3996
1;0.462057;3984
1;0.526977;3974
1;0.531145;3921
1;0.541024;3915
1;0.595277;3895
1;0.654305;3875
1;0.758358;3874
1;0.936391;3867
1;0.956971;3857
1;1.00036;3856
1;1.12277;3838
1;1.1418;3836
1;1.14816;3820
1;1.17001;3806
1;1.17358;3778
1;1.1779;3748
1;1.25136;3746
1;1.27362;3736
1;1.30009;3724
1;1.30098;3717
1;1.31983;3714
1;1.33316;3703
1;1.33405;3694
1;1.35233;3674
1;1.36574;3664
1;1.54774;3640
1;1.56983;3605
1;1.61329;3599
1;1.8843;3585
1;2.07116;3569
2;1.4917e-05;7131
2;0.000192125;6994
2;0.000221542;6952
2;0.000531167;6861
2;0.000699917;6715
2;0.000863042;6689
2;0.00132871;6638
2;0.00153242;6626
2;0.00154638;6605
2;0.00169479;6556
2;0.00198971;6447
2;0.00211033;6425
2;0.00232642;6349
2;0.00283;6288
2;0.00299575;6286
2;0.00307996;6265
2;0.00365642;6247
2;0.00416246;6228
2;0.00468917;6225
2;0.00506175;6211
2;0.00643621;6200
2;0.00644833;6195
2;0.00650454;6097
2;0.00696817;6091
2;0.00861113;6082
2;0.00961062;5994
2;0.00981504;5987
2;0.00998771;5966
2;0.0133746;5944
2;0.0143707;5866
2;0.0152714;5837
2;0.0168538;5813
2;0.0171759;5804
2;0.0178308;5745
2;0.0182771;5715
2;0.0202305;5687
2;0.0222075;5679
2;0.0262555;5664
2;0.0267785;5654
2;0.029143;5639
2;0.0312267;5637
2;0.0314033;5618
2;0.0314379;5609
2;0.0320898;5573
2;0.0325675;5559
2;0.0332448;5548
2;0.0337933;5506
2;0.0346419;5504
2;0.0363198;5463
