nr;czas;koszt
0;0.0145123;2372
0;0.014574;2357
0;0.0179128;2338
0;0.018214;2334
0;0.0199616;2330
0;0.0217173;2328
0;0.0291642;2321
0;0.029762;2275
0;0.0323226;2263
0;0.0333353;2262
0;0.0373484;2260
0;0.0377676;2214
0;0.0412412;2212
0;0.0414457;2198
0;0.0554642;2185
0;0.0559034;2183
0;0.0562785;2165
0;0.0858327;2125
0;0.0921219;2106
0;0.0934518;2067
0;0.0969142;2023
1;2.25e-06;2323
1;0.000915666;2301
1;0.000942375;2280
1;0.00176017;2252
1;0.00322575;2242
1;0.00361396;2227
1;0.00370563;2225
1;0.00438763;2224
1;0.00486471;2211
1;0.00512942;2156
1;0.0111306;2147
1;0.0423863;2124
1;0.0481942;2122
1;0.0618749;2082
1;0.108129;2048
2;0.000657458;2342
2;0.000788708;2336
2;0.00100221;2303
2;0.0019415;2281
2;0.00297929;2280
2;0.00342683;2213
2;0.00464796;2204
2;0.00513317;2195
2;0.00519733;2150
2;0.011331;2134
2;0.0122367;2111
2;0.0164184;2105
2;0.0173816;2103
2;0.0196331;2092
2;0.0220845;2090
2;0.0244579;2081
2;0.024961;2068
2;0.0268113;2062
2;0.0295343;2040
2;0.0326249;2008
2;0.0329211;1959
2;0.0420435;1948
2;0.0430175;1946
2;0.0439946;1912
3;0.00127112;2347
3;0.0057925;2297
3;0.007474;2257
3;0.00931779;2248
3;0.00945525;2206
3;0.00976358;2202
3;0.00990646;2198
3;0.0158048;2183
3;0.0175739;2167
3;0.0205358;2135
3;0.0209149;2108
3;0.0210306;2084
3;0.0254451;2070
3;0.0271023;2008
3;0.0327375;1990
3;0.0385815;1987
3;0.0472802;1986
4;0.00052925;2319
4;0.000585417;2271
4;0.00083925;2262
4;0.000961209;2235
4;0.00107233;2234
4;0.00107692;2232
4;0.002802;2192
4;0.00281512;2131
4;0.0038315;2127
4;0.00578371;2117
4;0.00822642;2110
4;0.00923854;2104
4;0.0114376;2086
4;0.0152136;2080
4;0.0197848;2035
4;0.0239237;2012
5;0.000210709;2373
5;0.000305667;2351
5;0.00103646;2342
5;0.00257629;2314
5;0.00306858;2287
5;0.00308163;2247
5;0.004234;2224
5;0.00974604;2218
5;0.0167371;2213
5;0.0167626;2205
5;0.0167996;2184
5;0.0178601;2175
5;0.0196699;2122
5;0.0208144;2121
5;0.0250767;2059
5;0.0256687;2042
5;0.037002;2026
5;0.041947;2012
5;0.0442838;2011
5;0.0485974;1987
5;0.0496314;1955
5;0.0540722;1937
5;0.0601981;1934
5;0.0850618;1933
6;0.00161408;2342
6;0.00174012;2320
6;0.00180338;2296
6;0.00210354;2269
6;0.00219779;2198
6;0.00860533;2158
6;0.00872204;2143
6;0.00931783;2115
6;0.0101201;2099
6;0.0109828;2075
6;0.0194557;2043
6;0.0213267;2035
6;0.0320548;1994
7;0.000298625;2342
7;0.000410084;2318
7;0.000632459;2254
7;0.00386771;2245
7;0.00544063;2222
7;0.00613038;2213
7;0.00909187;2201
7;0.00951037;2146
7;0.0104021;2139
7;0.010771;2121
7;0.0115017;2056
7;0.0297963;2041
7;0.192873;2039
7;0.196389;2030
7;0.220341;2025
7;0.2207;1995
7;0.222814;1933
8;0.000118792;2373
8;0.000346834;2341
8;0.000482875;2315
8;0.000707292;2314
8;0.000987417;2274
8;0.00172267;2235
8;0.00630237;2187
8;0.00739742;2178
8;0.00828708;2169
8;0.00970112;2146
8;0.00973988;2144
8;0.0226483;2079
8;0.0231311;2064
8;0.0421477;2041
8;0.0770554;2039
8;0.0795148;2030
8;0.11521;2016
8;0.115288;2015
8;0.11654;1990
8;0.117147;1968
8;0.131557;1957
8;0.131608;1933
8;0.139207;1888
8;0.13945;1887
8;0.140472;1841
8;0.148701;1840
9;0.000445459;2373
9;0.000866792;2362
9;0.00445546;2340
9;0.00537829;2298
9;0.006196;2292
9;0.00786675;2277
9;0.00883483;2230
9;0.0100668;2206
9;0.0103748;2187
9;0.0106073;2147
9;0.01586;2123
9;0.0164988;2101
9;0.0172331;2057
9;0.0183905;2039
9;0.0217901;2018
9;0.0249285;1977
9;0.0251927;1973

Najlepsza znaleziona ścieka:
39-21-40-20-38-0-25-1-9-33-27-2-28-3-24-4-29-30-31-5-6-10-8-11-37-47-26-41-43-42-22-19-44-15-18-17-12-32-7-23-34-13-46-36-14-35-16-45-39
