nr;czas;koszt
0;0.959778;3918
0;0.981144;3890
0;0.983151;3818
0;1.0193;3792
0;1.01982;3744
0;1.02489;3737
0;1.11314;3717
0;1.45575;3716
0;1.94738;3714
0;2.07783;3704
0;4.20099;3676
1;0.00491971;3859
1;0.0468025;3841
1;0.0489826;3815
1;0.0561732;3779
1;0.0593585;3766
1;0.0604083;3757
1;0.0676993;3746
1;0.0806131;3743
1;0.118108;3703
1;0.155044;3700
1;0.161242;3687
1;0.161628;3669
1;0.168711;3649
1;0.219905;3644
1;0.223626;3623
1;0.241482;3595
1;0.263978;3581
1;0.296312;3531
1;0.313875;3523
1;0.313907;3517
1;0.320672;3512
1;0.363673;3506
1;0.370385;3505
1;0.397611;3498
1;0.399707;3486
1;0.42119;3458
1;0.426281;3449
1;0.487745;3437
1;0.493131;3430
1;0.57264;3425
1;0.600298;3418
1;0.644123;3413
1;0.672655;3399
1;0.684155;3381
1;0.710878;3378
1;0.767334;3367
1;0.873984;3339
1;0.987118;3312
1;1.00446;3266
1;1.02719;3252
1;1.03719;3250
1;12.5377;3237
2;0.00355054;3920
2;0.0151544;3844
2;0.0183277;3808
2;0.0216773;3793
2;0.0465014;3790
2;0.0494984;3772
2;0.0627426;3764
2;0.0808201;3725
2;0.0956083;3718
2;0.0968675;3705
2;0.0995636;3699
2;0.114121;3690
2;0.132494;3689
2;0.133129;3643
2;0.151717;3619
2;0.171662;3579
2;0.198548;3537
2;0.274361;3515
2;0.312654;3494
2;0.313172;3466
2;0.428226;3440
2;0.453988;3420
2;0.475085;3407
2;0.566175;3402
2;0.585636;3386
2;0.622498;3384
2;0.764559;3373
2;0.929929;3366
2;1.06354;3307
2;1.55735;3295
2;2.19989;3292
2;2.20201;3274
2;2.39705;3271
2;2.43826;3260
2;4.95998;3258
2;5.00405;3252
2;5.37906;3237
3;0.00381925;3877
3;0.00648696;3837
3;0.0140523;3830
3;0.0147981;3788
3;0.031158;3785
3;0.0360236;3764
3;0.0369693;3751
3;0.0396539;3723
3;0.0440213;3721
3;0.0514253;3712
3;0.0650206;3709
3;0.076633;3706
3;0.0832285;3667
3;0.0889687;3649
3;0.103827;3627
3;0.115745;3619
3;0.123584;3555
3;0.134864;3529
3;0.135439;3509
3;0.136279;3503
3;0.143586;3482
3;0.169801;3462
3;0.183016;3446
3;0.188602;3428
3;0.201975;3420
3;0.244004;3418
3;0.299731;3411
3;0.344054;3352
3;0.354432;3345
3;0.359783;3331
3;0.363301;3292
3;0.410287;3279
3;0.434429;3274
3;0.513239;3269
3;0.528105;3257
3;0.707721;3246
3;1.23523;3243
3;1.35813;3232
3;1.99237;3219
4;0.00589588;3846
4;0.0127893;3810
4;0.015121;3807
4;0.0244466;3786
4;0.0530565;3778
4;0.0650831;3750
4;0.0766389;3744
