nr;czas;koszt
0;0.065774;3525
0;0.0659024;3519
0;0.0660587;3517
0;0.0661248;3515
0;0.0670075;3513
0;0.0672542;3504
0;0.0677327;3499
0;0.0681375;3497
0;0.069222;3496
0;0.069261;3493
0;0.0693712;3482
0;0.0699483;3476
0;0.0702729;3475
0;0.0702908;3474
0;0.0709584;3470
0;0.0717235;3465
0;0.072245;3448
0;0.0727235;3447
0;0.073003;3439
0;0.0730895;3438
0;0.0739787;3436
0;0.074887;3435
0;0.0749143;3434
0;0.0758255;3433
0;0.0762162;3431
0;0.0763915;3429
0;0.0768087;3428
0;0.0769699;3427
0;0.0773755;3426
0;0.0776913;3420
0;0.0809545;3407
0;0.0811433;3402
0;0.0811682;3396
0;0.0818255;3395
0;0.0818577;3394
0;0.0823178;3393
0;0.0831072;3387
0;0.0835344;3379
0;0.0837472;3374
0;0.0837524;3370
0;0.0840332;3368
0;0.0842525;3366
0;0.084348;3362
0;0.0851502;3352
0;0.0851946;3351
0;0.0865608;3343
0;0.0868947;3342
0;0.0879324;3340
0;0.0886326;3339
0;0.0909879;3338
0;0.0909907;3336
0;0.0910566;3333
0;0.0917082;3330
0;0.0923094;3329
0;0.0931407;3324
0;0.0934733;3323
0;0.0941947;3320
0;0.0950841;3317
0;0.0956233;3316
0;0.0958965;3315
0;0.0963142;3314
0;0.096788;3308
0;0.0979345;3307
0;0.0993941;3305
0;0.099515;3301
0;0.100631;3299
0;0.101291;3298
0;0.101847;3295
0;0.103573;3293
0;0.104253;3289
0;0.104768;3285
0;0.106411;3284
0;0.106546;3280
0;0.106864;3279
0;0.109457;3273
0;0.109589;3269
0;0.110582;3267
0;0.111144;3266
0;0.112399;3265
0;0.112401;3264
0;0.113726;3261
0;0.116311;3253
0;0.117638;3249
0;0.118003;3248
0;0.118752;3246
0;0.119751;3244
0;0.120915;3235
0;0.123585;3229
0;0.125643;3228
0;0.126082;3226
0;0.129425;3225
0;0.131129;3224
0;0.131842;3223
0;0.132424;3222
0;0.133456;3221
0;0.133714;3219
0;0.134166;3216
0;0.134626;3214
0;0.135497;3213
0;0.136642;3211
0;0.137159;3209
0;0.139169;3208
0;0.140541;3199
0;0.141156;3198
0;0.142099;3196
0;0.142146;3190
0;0.147342;3182
0;0.148377;3172
0;0.150001;3171
0;0.150456;3170
0;0.15128;3164
0;0.151832;3163
0;0.152089;3149
0;0.153426;3145
0;0.154779;3144
0;0.156301;3143
0;0.157245;3138
0;0.15736;3137
0;0.158504;3136
0;0.158762;3135
0;0.158901;3126
0;0.159625;3124
0;0.163175;3123
0;0.163537;3122
0;0.163888;3119
0;0.166712;3118
0;0.168342;3115
0;0.172282;3113
0;0.173854;3111
0;0.178394;3106
0;0.183876;3099
0;0.187713;3093
0;0.18805;3084
0;0.189035;3083
0;0.189402;3082
0;0.189748;3075
0;0.191063;3067
0;0.193061;3066
0;0.193769;3064
0;0.19429;3063
0;0.194725;3057
0;0.195971;3045
0;0.196606;3036
0;0.196693;3029
0;0.197676;3028
0;0.200433;3021
0;0.203275;3019
0;0.2047;3015
0;0.205968;3013
0;0.206143;3010
0;0.209403;3008
0;0.21013;3007
0;0.211572;3006
0;0.213607;3004
0;0.213782;2995
0;0.21397;2984
0;0.214555;2983
0;0.214765;2982
0;0.215196;2975
0;0.21898;2967
0;0.219098;2960
0;0.220746;2959
0;0.221074;2948
0;0.229872;2944
0;0.232355;2942
0;0.235519;2940
0;0.236886;2930
0;0.241922;2928
0;0.242661;2926
0;0.250229;2925
0;0.255672;2916
0;0.25841;2906
0;0.260973;2905
0;0.264964;2903
0;0.274657;2896
0;0.275851;2890
0;0.275878;2882
0;0.28342;2876
0;0.283582;2870
0;0.283827;2869
0;0.287047;2868
0;0.288939;2867
0;0.290256;2862
0;0.292622;2860
0;0.292724;2858
0;0.294824;2852
0;0.295257;2848
0;0.300086;2846
0;0.301824;2838
0;0.303442;2837
0;0.305124;2836
0;0.310011;2834
0;0.318518;2826
0;0.326348;2814
0;0.332592;2805
0;0.334808;2801
0;0.340428;2800
0;0.362354;2799
0;0.364898;2797
0;0.366023;2793
0;0.372294;2792
0;0.377766;2790
0;0.37829;2782
0;0.379862;2775
0;0.396573;2764
0;0.405438;2762
0;0.405666;2761
0;0.410855;2759
0;0.42327;2758
0;0.43338;2755
0;0.434978;2754
0;0.436994;2748
0;0.441861;2740
0;0.457258;2737
0;0.462485;2736
0;0.472927;2727
0;0.479657;2715
0;0.481774;2714
0;0.485034;2713
0;0.485688;2707
0;0.488243;2706
0;0.508208;2704
0;0.514405;2700
0;0.531918;2699
0;0.538453;2697
0;0.539526;2695
0;0.540853;2686
0;0.541304;2685
0;0.541477;2682
0;0.556401;2675
0;0.58896;2669
0;0.598455;2668
0;0.600555;2667
0;0.631325;2666
0;0.640155;2660
0;0.643558;2658
0;0.652174;2655
0;0.656125;2654
0;0.658117;2653
0;0.661118;2652
0;0.670975;2644
0;0.673449;2643
0;0.69428;2637
0;0.697633;2636
0;0.699202;2634
0;0.718599;2633
0;0.754709;2632
0;0.769353;2631
0;0.771049;2630
0;0.776387;2622
0;0.793034;2619
0;0.796898;2618
0;0.798115;2610
0;0.825351;2601
0;0.851934;2595
0;0.880803;2594
0;0.92547;2584
0;0.969549;2575
0;0.994022;2572
0;1.0261;2570
0;1.05284;2568
0;1.09559;2560
0;1.10532;2556
0;1.12659;2548
0;1.1558;2547
0;1.1986;2545
0;1.20521;2543
0;1.26594;2534
0;1.27133;2532
0;1.34228;2531
0;1.37957;2525
0;1.45264;2524
0;1.4957;2520
0;1.51285;2518
0;1.684;2510
0;1.9127;2509
0;2.6819;2502
0;2.87315;2501
0;2.9743;2498
0;3.07401;2494
0;3.09684;2493
0;3.11817;2488
0;3.51521;2487
0;3.53722;2484
