nr;czas;koszt
0;0.0103533;2366
0;0.0104964;2358
0;0.0108679;2344
0;0.0109822;2341
0;0.0121247;2317
0;0.0137582;2289
0;0.0140974;2283
0;0.0149145;2252
0;0.0158992;2248
0;0.0167675;2199
0;0.0176203;2198
0;0.0192945;2182
0;0.0240337;2181
0;0.0255189;2136
0;0.0261128;2130
0;0.0278392;2106
0;0.0280887;2105
0;0.0283602;2087
0;0.02857;2056
0;0.0372496;2028
1;0.000978541;2373
1;0.00122408;2372
1;0.00145275;2346
1;0.00151046;2324
1;0.00304458;2308
1;0.00357071;2293
1;0.00408804;2253
1;0.00443525;2239
1;0.00692979;2216
1;0.007531;2184
1;0.00782737;2140
1;0.0094495;2122
1;0.012494;2112
1;0.0130305;2098
1;0.0140459;2076
1;0.0171497;2057
1;0.038583;2044
1;0.0437769;2041
1;0.0463229;1974
1;0.0537042;1973
2;0.000137333;2347
2;0.000279458;2275
2;0.000301541;2266
2;0.00180217;2252
2;0.00213246;2230
2;0.00273404;2202
2;0.00315542;2201
2;0.00582617;2185
2;0.006929;2170
2;0.00883754;2142
2;0.0106256;2121
2;0.0163748;2081
2;0.0510847;2058
2;0.0754473;2048
2;0.0872007;2041
2;0.0916528;2039
2;0.109709;2030
2;0.120866;2016
2;0.122767;1994
2;0.124211;1992
2;0.138727;1968
2;0.174465;1910
2;0.177779;1887
2;0.235128;1842
2;0.23516;1841
2;0.253509;1840
3;0.000639667;2368
3;0.00125225;2354
3;0.00131875;2324
3;0.00254958;2311
3;0.00256058;2309
3;0.00260117;2283
3;0.00364667;2256
3;0.00469004;2201
3;0.00483283;2133
3;0.006589;2122
3;0.00698046;2113
3;0.0122265;2104
3;0.0144345;2102
3;0.0152011;2061
3;0.0193125;2036
3;0.0325765;2024
3;0.0397596;2010
3;0.0403648;1976
3;0.0460953;1953
3;0.0518193;1949
3;0.0782428;1945
3;0.0991865;1927
4;0.00159525;2360
4;0.00243692;2310
4;0.00299692;2309
4;0.00417246;2300
4;0.00500025;2287
4;0.00677996;2281
4;0.00831192;2257
4;0.00983933;2217
4;0.0102014;2207
4;0.0130118;2184
4;0.0142213;2159
4;0.0207618;2144
4;0.0269207;2107
4;0.0315489;2097
4;0.031697;2066
5;0.000387542;2347
5;0.00104183;2299
5;0.00118263;2259
5;0.001483;2258
5;0.0014855;2203
5;0.00836858;2188
5;0.0109005;2179
5;0.0165006;2131
5;0.0205121;2115
5;0.0205405;2066
5;0.0207878;2064
5;0.0378586;2041
5;0.0735527;2039
5;0.0832125;2030
5;0.107131;1990
5;0.130096;1968
5;0.143215;1957
5;0.145965;1933
5;0.1526;1922
5;0.153928;1888
5;0.154269;1886
5;0.163941;1840
6;0.000200042;2350
6;0.000311292;2328
6;0.000667792;2296
6;0.0009835;2284
6;0.00102646;2244
6;0.00103108;2235
6;0.001393;2224
6;0.00174938;2180
6;0.00200517;2156
6;0.00817958;2134
6;0.0120693;2115
6;0.0173578;2100
6;0.0203467;2093
6;0.0291724;2077
6;0.0317654;2053
7;0.000498375;2347
7;0.000683916;2307
7;0.00132821;2306
7;0.00138412;2283
7;0.00191554;2249
7;0.00202717;2228
7;0.00242362;2226
7;0.00971483;2185
7;0.00976242;2176
7;0.0107424;2164
7;0.0118546;2149
7;0.0134893;2125
7;0.0142415;2042
7;0.0226282;2039
7;0.0229197;2013
7;0.0241208;1982
7;0.0321937;1981
8;3.425e-05;2373
8;0.000308708;2359
8;0.000524;2348
8;0.000622458;2325
8;0.00130983;2303
8;0.00401175;2261
8;0.00461371;2245
8;0.005687;2232
8;0.00971721;2220
8;0.00973575;2211
8;0.00989171;2180
8;0.0162128;2174
8;0.0179772;2146
8;0.0188395;2139
8;0.0202945;2125
8;0.0215281;2118
8;0.0216157;2116
8;0.022308;2101
8;0.0249722;2082
8;0.02603;2040
8;0.0317293;2037
8;0.0402609;2024
8;0.0421845;2018
8;0.0606796;2009
8;0.0638487;1964
8;0.071491;1961
8;0.0745372;1960
9;0.000234541;2319
9;0.000328125;2318
9;0.000924958;2296
9;0.00112133;2295
9;0.00200967;2272
9;0.00332937;2247
9;0.0050015;2245
9;0.00592846;2231
9;0.00613137;2216
9;0.00683158;2165
9;0.0179109;2084
9;0.0214137;2074
9;0.0312496;2067
9;0.0332486;2043
9;0.0395614;2029
9;0.0405129;1976

Najlepsza znaleziona ścieka:
33-27-2-28-3-24-4-29-30-31-5-6-10-8-11-37-47-26-41-43-42-22-19-44-15-18-17-12-32-7-23-34-13-46-36-35-14-16-45-39-21-40-20-38-0-25-1-9-33
