nr;czas;koszt
0;0.0145423;2373
0;0.0150539;2337
0;0.0152294;2330
0;0.0162366;2309
0;0.0187743;2290
0;0.0207654;2289
0;0.0236885;2247
0;0.0263227;2221
0;0.0310342;2181
0;0.0392165;2177
0;0.0401307;2159
0;0.0416539;2137
0;0.0592735;2088
0;0.0755973;2084
0;0.0756105;2045
0;0.07617;1985
0;0.0778629;1950
0;0.0782228;1949
0;0.0825742;1948
0;0.089606;1942
0;0.0935947;1891
1;2.209e-06;2368
1;0.000435334;2323
1;0.00081875;2322
1;0.00173858;2300
1;0.00236217;2287
1;0.00267921;2279
1;0.00276188;2255
1;0.00338904;2218
1;0.00401108;2217
1;0.00502075;2194
1;0.0126912;2183
1;0.0157835;2174
1;0.0158729;2172
1;0.0186761;2165
1;0.0218845;2159
1;0.024631;2119
1;0.035399;2074
1;0.055489;2040
1;0.0813355;2027
1;0.106178;2018
1;0.215727;2015
2;0.00030375;2373
2;0.000317292;2306
2;0.00351196;2256
2;0.00486108;2250
2;0.00529779;2241
2;0.00564708;2217
2;0.00833917;2189
2;0.00871833;2159
2;0.00983679;2141
2;0.0191979;2079
2;0.0251164;2064
2;0.0271338;2022
2;0.102586;2019
2;0.108042;1969
2;0.124869;1937
2;0.13822;1933
3;0.000158166;2362
3;0.000376333;2361
3;0.00184554;2346
3;0.00232963;2330
3;0.00240279;2280
3;0.004152;2266
3;0.00535712;2243
3;0.00593442;2203
3;0.00716008;2161
3;0.00857054;2143
3;0.00868388;2134
3;0.0102349;2128
3;0.0185375;2112
3;0.0198637;2088
3;0.0448096;2084
3;0.0526145;2039
4;0.000919458;2352
4;0.00102792;2351
4;0.00184225;2337
4;0.002546;2328
4;0.00345346;2275
4;0.00567712;2224
4;0.00574871;2209
4;0.00808958;2144
4;0.0105435;2123
4;0.0135205;2110
4;0.0149458;2087
4;0.0346714;2059
4;0.052075;2056
4;0.0552474;2028
4;0.0723239;2026
4;0.0812229;2017
4;0.0980011;1977
4;0.0986415;1955
4;0.121806;1943
4;0.1225;1920
4;0.123405;1874
4;0.137649;1829
4;0.139179;1827
5;8.8333e-05;2352
5;0.000614125;2304
5;0.000951583;2280
5;0.00141183;2213
5;0.00358996;2212
5;0.00632925;2190
5;0.00808575;2181
5;0.00865742;2116
5;0.00924592;2097
5;0.0102084;2078
5;0.010765;2036
5;0.0113237;1972
5;0.0119177;1949
6;0.000172;2332
6;0.000392458;2308
6;0.00176046;2260
6;0.00470046;2258
6;0.005172;2242
6;0.00571292;2233
6;0.00610717;2224
6;0.00636071;2210
6;0.00695492;2196
6;0.00820917;2178
6;0.00867775;2172
6;0.0118505;2140
6;0.0133665;2137
6;0.0133883;2096
6;0.0140465;2075
6;0.0163405;2072
6;0.0164704;2031
6;0.0165219;2027
6;0.0221886;1987
6;0.0304825;1986
7;0.000193625;2373
7;0.0003025;2331
7;0.002006;2308
7;0.00261121;2302
7;0.00502675;2293
7;0.00871396;2287
7;0.00979075;2271
7;0.0115999;2223
7;0.0117326;2221
7;0.0127725;2207
7;0.0137385;2158
7;0.0138753;2113
7;0.0158662;2089
7;0.016692;2076
7;0.0292543;2036
7;0.039209;2032
8;0.00155858;2332
8;0.00239767;2326
8;0.00297229;2302
8;0.00307504;2292
8;0.00497304;2291
8;0.00569742;2241
8;0.0068235;2227
8;0.00762904;2203
8;0.0100781;2188
8;0.0111205;2163
8;0.0141555;2154
8;0.0185106;2136
8;0.0253245;2135
8;0.0303651;2109
8;0.0328369;2075
8;0.0355076;2072
8;0.0364193;2049
8;0.0529998;1990
8;0.055742;1987
8;0.0592753;1986
9;0.000162125;2373
9;0.000520292;2341
9;0.000597375;2277
9;0.000865875;2250
9;0.000989709;2228
9;0.00107346;2188
9;0.0028015;2165
9;0.00326892;2150
9;0.00655879;2141
9;0.00682246;2134
9;0.00735196;2069
9;0.0101102;2043
9;0.0151297;2041
9;0.0576663;2039
9;0.0791867;2030
9;0.100428;2021
9;0.108536;2017
9;0.115971;1990
9;0.128649;1968
9;0.142696;1957
9;0.147488;1886
9;0.154036;1840

Najlepsza znaleziona ścieka:
33-27-3-24-4-29-30-31-5-6-10-8-11-37-47-26-42-28-2-41-43-22-19-44-15-16-18-17-12-32-7-23-34-13-46-36-35-14-45-39-21-40-20-38-0-25-1-9-33
