nr;czas;koszt
0;0.0853339;3528
0;0.0854164;3521
0;0.0858973;3515
0;0.0876368;3511
0;0.088366;3509
0;0.088464;3508
0;0.0884987;3505
0;0.0891188;3501
0;0.0905248;3500
0;0.091036;3498
0;0.091202;3488
0;0.0921202;3487
0;0.0934592;3485
0;0.0936437;3480
0;0.0956908;3477
0;0.0962576;3472
0;0.0965858;3471
0;0.0967865;3469
0;0.0969053;3465
0;0.0976459;3463
0;0.0978858;3459
0;0.0986308;3458
0;0.0988425;3456
0;0.0993926;3454
0;0.0999513;3453
0;0.100523;3452
0;0.100626;3450
0;0.101032;3444
0;0.101315;3443
0;0.101343;3441
0;0.102667;3437
0;0.103844;3430
0;0.10409;3429
0;0.104336;3428
0;0.106133;3427
0;0.106178;3417
0;0.107685;3416
0;0.108088;3410
0;0.10812;3408
0;0.109443;3403
0;0.110193;3402
0;0.110466;3390
0;0.111178;3389
0;0.111521;3379
0;0.111665;3378
0;0.112188;3370
0;0.112288;3364
0;0.11306;3362
0;0.113626;3360
0;0.113692;3357
0;0.114549;3356
0;0.116382;3354
0;0.116613;3352
0;0.118033;3351
0;0.118609;3350
0;0.119353;3342
0;0.124405;3338
0;0.124644;3327
0;0.125598;3326
0;0.126188;3320
0;0.126685;3319
0;0.128103;3318
0;0.128766;3316
0;0.128856;3313
0;0.128885;3312
0;0.130933;3306
0;0.132401;3304
0;0.13247;3302
0;0.132623;3301
0;0.134825;3285
0;0.135178;3281
0;0.135651;3280
0;0.135867;3271
0;0.13704;3264
0;0.137313;3263
0;0.137533;3259
0;0.138707;3255
0;0.141867;3251
0;0.142507;3250
0;0.142982;3247
0;0.143748;3244
0;0.144655;3238
0;0.147763;3229
0;0.151675;3219
0;0.152283;3216
0;0.153594;3215
0;0.153965;3213
0;0.156092;3212
0;0.156772;3211
0;0.158807;3210
0;0.160311;3209
0;0.160631;3199
0;0.161583;3195
0;0.162224;3194
0;0.162408;3189
0;0.163169;3183
0;0.164003;3182
0;0.164652;3181
0;0.166046;3180
0;0.168278;3170
0;0.168834;3160
0;0.178198;3157
0;0.181153;3156
0;0.182866;3155
0;0.184341;3154
0;0.185068;3150
0;0.185922;3147
0;0.186494;3144
0;0.187826;3141
0;0.189703;3135
0;0.191376;3127
0;0.191547;3122
0;0.193297;3120
0;0.194191;3119
0;0.196083;3118
0;0.19643;3116
0;0.19788;3107
0;0.199922;3095
0;0.201572;3094
0;0.202832;3087
0;0.206517;3082
0;0.208543;3080
0;0.208941;3079
0;0.210906;3078
0;0.214288;3073
0;0.214923;3066
0;0.215906;3059
0;0.216454;3056
0;0.218113;3052
0;0.220001;3051
0;0.220249;3047
0;0.220571;3040
0;0.221361;3037
0;0.221552;3031
0;0.221681;3028
0;0.223075;3027
0;0.223399;3025
